Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_20.jsonl
Loaded 50 validation event(s).
Loaded training checkpoint from /home/wei/AMR-DFJSP/training_logs/curriculum_20260615_175146/checkpoints/phase_01/gnn_precise_latest.pth (optimizers: optimizer_actor)
Starting GNN Precise REINFORCE training with dispatch baseline 'fifo+least_loaded' (stepwise).
Epoch [54/500] | Sampled: 260.06 | Baseline: 259.75 | Improvement: -0.31 | Win Rate: 40.62% | Job Loss: -1.6060 | AMR Loss: 0.1412 | Entropy: 1.0605 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [55/500] | Sampled: 265.31 | Baseline: 267.09 | Improvement: 1.78 | Win Rate: 46.88% | Job Loss: -0.2132 | AMR Loss: -0.6233 | Entropy: 1.0790 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [56/500] | Sampled: 263.94 | Baseline: 270.22 | Improvement: 6.28 | Win Rate: 75.00% | Job Loss: -0.6815 | AMR Loss: -0.0051 | Entropy: 1.0751 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [57/500] | Sampled: 257.62 | Baseline: 265.47 | Improvement: 7.84 | Win Rate: 75.00% | Job Loss: -0.8639 | AMR Loss: -0.1789 | Entropy: 1.2041 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [58/500] | Sampled: 262.06 | Baseline: 266.72 | Improvement: 4.66 | Win Rate: 71.88% | Job Loss: -0.9253 | AMR Loss: -0.3468 | Entropy: 1.2276 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [59/500] | Sampled: 264.69 | Baseline: 264.94 | Improvement: 0.25 | Win Rate: 43.75% | Job Loss: -1.0410 | AMR Loss: -0.2866 | Entropy: 1.2535 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [60/500] | Sampled: 260.91 | Baseline: 268.44 | Improvement: 7.53 | Win Rate: 71.88% | Job Loss: 0.1725 | AMR Loss: -0.3330 | Entropy: 1.2678 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [61/500] | Sampled: 259.88 | Baseline: 267.81 | Improvement: 7.94 | Win Rate: 81.25% | Job Loss: -0.1844 | AMR Loss: -0.0782 | Entropy: 1.2657 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [62/500] | Sampled: 260.03 | Baseline: 265.06 | Improvement: 5.03 | Win Rate: 75.00% | Job Loss: -1.4832 | AMR Loss: -0.4488 | Entropy: 1.2956 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [63/500] | Sampled: 256.53 | Baseline: 263.62 | Improvement: 7.09 | Win Rate: 65.62% | Job Loss: -0.5468 | AMR Loss: 0.0465 | Entropy: 1.2321 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [64/500] | Sampled: 259.47 | Baseline: 265.31 | Improvement: 5.84 | Win Rate: 59.38% | Job Loss: -1.8185 | AMR Loss: 0.2622 | Entropy: 1.2012 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [65/500] | Sampled: 262.62 | Baseline: 268.62 | Improvement: 6.00 | Win Rate: 71.88% | Job Loss: -0.5510 | AMR Loss: 0.1147 | Entropy: 1.1626 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [66/500] | Sampled: 261.72 | Baseline: 262.88 | Improvement: 1.16 | Win Rate: 56.25% | Job Loss: 0.4083 | AMR Loss: -0.2702 | Entropy: 1.1092 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [67/500] | Sampled: 262.84 | Baseline: 268.44 | Improvement: 5.59 | Win Rate: 65.62% | Job Loss: -0.3640 | AMR Loss: 0.2611 | Entropy: 1.0863 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [68/500] | Sampled: 265.62 | Baseline: 269.56 | Improvement: 3.94 | Win Rate: 62.50% | Job Loss: -1.4234 | AMR Loss: -0.2925 | Entropy: 1.0481 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [69/500] | Sampled: 262.94 | Baseline: 265.88 | Improvement: 2.94 | Win Rate: 59.38% | Job Loss: 1.0104 | AMR Loss: 0.3842 | Entropy: 1.0089 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [70/500] | Sampled: 264.41 | Baseline: 268.28 | Improvement: 3.88 | Win Rate: 65.62% | Job Loss: -1.3059 | AMR Loss: -0.1945 | Entropy: 1.0065 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [71/500] | Sampled: 261.50 | Baseline: 265.62 | Improvement: 4.12 | Win Rate: 62.50% | Job Loss: -0.1054 | AMR Loss: -0.0083 | Entropy: 1.0078 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [72/500] | Sampled: 264.09 | Baseline: 267.00 | Improvement: 2.91 | Win Rate: 65.62% | Job Loss: -0.3008 | AMR Loss: -0.2975 | Entropy: 1.0380 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [73/500] | Sampled: 263.06 | Baseline: 268.06 | Improvement: 5.00 | Win Rate: 62.50% | Job Loss: -0.9565 | AMR Loss: 0.1583 | Entropy: 1.0700 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [74/500] | Sampled: 260.03 | Baseline: 266.25 | Improvement: 6.22 | Win Rate: 71.88% | Job Loss: -0.5683 | AMR Loss: 0.0000 | Entropy: 1.0577 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [75/500] | Sampled: 268.91 | Baseline: 269.12 | Improvement: 0.22 | Win Rate: 46.88% | Job Loss: -0.0744 | AMR Loss: -1.8035 | Entropy: 1.0772 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [76/500] | Sampled: 261.72 | Baseline: 264.44 | Improvement: 2.72 | Win Rate: 59.38% | Job Loss: -0.5273 | AMR Loss: 0.2824 | Entropy: 1.1048 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [77/500] | Sampled: 266.69 | Baseline: 267.75 | Improvement: 1.06 | Win Rate: 53.12% | Job Loss: 0.1359 | AMR Loss: -0.2597 | Entropy: 1.1094 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [78/500] | Sampled: 264.22 | Baseline: 267.22 | Improvement: 3.00 | Win Rate: 56.25% | Job Loss: 0.7443 | AMR Loss: -0.2794 | Entropy: 1.1231 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [79/500] | Sampled: 264.00 | Baseline: 268.25 | Improvement: 4.25 | Win Rate: 68.75% | Job Loss: 0.3788 | AMR Loss: 0.0680 | Entropy: 1.1084 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [80/500] | Sampled: 264.59 | Baseline: 266.00 | Improvement: 1.41 | Win Rate: 56.25% | Job Loss: 0.2681 | AMR Loss: -0.4612 | Entropy: 1.0945 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [81/500] | Sampled: 261.12 | Baseline: 263.97 | Improvement: 2.84 | Win Rate: 56.25% | Job Loss: 0.1627 | AMR Loss: -0.3130 | Entropy: 1.1060 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [82/500] | Sampled: 265.59 | Baseline: 266.44 | Improvement: 0.84 | Win Rate: 53.12% | Job Loss: -0.0734 | AMR Loss: 0.1900 | Entropy: 1.0844 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [83/500] | Sampled: 265.22 | Baseline: 269.47 | Improvement: 4.25 | Win Rate: 65.62% | Job Loss: -0.2055 | AMR Loss: 0.1183 | Entropy: 1.0839 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [84/500] | Sampled: 263.84 | Baseline: 267.69 | Improvement: 3.84 | Win Rate: 62.50% | Job Loss: -0.5682 | AMR Loss: -0.0746 | Entropy: 1.0547 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [85/500] | Sampled: 264.53 | Baseline: 266.59 | Improvement: 2.06 | Win Rate: 56.25% | Job Loss: -0.3408 | AMR Loss: -0.1235 | Entropy: 1.0942 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [86/500] | Sampled: 264.53 | Baseline: 264.81 | Improvement: 0.28 | Win Rate: 50.00% | Job Loss: -0.1985 | AMR Loss: -0.4746 | Entropy: 1.0668 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [87/500] | Sampled: 264.38 | Baseline: 265.69 | Improvement: 1.31 | Win Rate: 59.38% | Job Loss: -0.0027 | AMR Loss: 0.0623 | Entropy: 1.0801 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [88/500] | Sampled: 264.69 | Baseline: 265.78 | Improvement: 1.09 | Win Rate: 53.12% | Job Loss: -0.2115 | AMR Loss: -0.6444 | Entropy: 1.0891 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [89/500] | Sampled: 264.03 | Baseline: 263.91 | Improvement: -0.12 | Win Rate: 53.12% | Job Loss: 0.3461 | AMR Loss: -0.2747 | Entropy: 1.0737 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [90/500] | Sampled: 267.19 | Baseline: 268.62 | Improvement: 1.44 | Win Rate: 53.12% | Job Loss: 0.0898 | AMR Loss: 0.3795 | Entropy: 1.0886 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [91/500] | Sampled: 267.12 | Baseline: 266.09 | Improvement: -1.03 | Win Rate: 46.88% | Job Loss: -0.1904 | AMR Loss: -0.3482 | Entropy: 1.0993 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [92/500] | Sampled: 261.66 | Baseline: 266.56 | Improvement: 4.91 | Win Rate: 68.75% | Job Loss: 0.0306 | AMR Loss: -0.2683 | Entropy: 1.0952 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [93/500] | Sampled: 264.69 | Baseline: 265.72 | Improvement: 1.03 | Win Rate: 46.88% | Job Loss: -0.6456 | AMR Loss: -0.1026 | Entropy: 1.1153 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
