Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_20.jsonl
Loaded 50 validation event(s).
Loaded training checkpoint from /home/wei/AMR-DFJSP/training_logs/curriculum_20260615_175146/checkpoints/phase_01/attention_precise_latest.pth (optimizers: optimizer)
Starting Attention Precise REINFORCE training with dispatch baseline 'fifo+least_loaded' (stepwise).
Epoch [44/500] | Sampled: 248.50 | Baseline: 265.03 | Improvement: 16.53 | Win Rate: 96.88% | Actor Loss: 0.6531 | Entropy: 0.4723 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.4
Epoch [45/500] | Sampled: 247.66 | Baseline: 265.41 | Improvement: 17.75 | Win Rate: 100.00% | Actor Loss: -2.1727 | Entropy: 0.4728 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [46/500] | Sampled: 249.00 | Baseline: 265.38 | Improvement: 16.38 | Win Rate: 93.75% | Actor Loss: -2.2246 | Entropy: 0.4858 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [47/500] | Sampled: 251.69 | Baseline: 266.31 | Improvement: 14.62 | Win Rate: 96.88% | Actor Loss: -1.3159 | Entropy: 0.4989 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [48/500] | Sampled: 250.16 | Baseline: 263.72 | Improvement: 13.56 | Win Rate: 87.50% | Actor Loss: -0.4100 | Entropy: 0.4513 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [49/500] | Sampled: 249.28 | Baseline: 267.09 | Improvement: 17.81 | Win Rate: 93.75% | Actor Loss: -0.5472 | Entropy: 0.4561 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.3
Epoch [50/500] | Sampled: 248.28 | Baseline: 265.81 | Improvement: 17.53 | Win Rate: 93.75% | Actor Loss: 0.0164 | Entropy: 0.4336 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
   -> Validation | Samples: 50 | Makespan: 248.46 | Invalid Jobs: 0.00
Epoch [51/500] | Sampled: 249.81 | Baseline: 266.62 | Improvement: 16.81 | Win Rate: 93.75% | Actor Loss: -0.3178 | Entropy: 0.4912 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [52/500] | Sampled: 250.31 | Baseline: 265.25 | Improvement: 14.94 | Win Rate: 100.00% | Actor Loss: -0.5099 | Entropy: 0.5060 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [53/500] | Sampled: 250.47 | Baseline: 266.03 | Improvement: 15.56 | Win Rate: 93.75% | Actor Loss: -0.8906 | Entropy: 0.5293 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
