Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_20.jsonl
Loaded 50 validation event(s).
Loaded training checkpoint from /home/wei/AMR-DFJSP/training_logs/curriculum_20260615_175146/checkpoints/phase_01/gnn_latest.pth (optimizers: optimizer_actor)
Starting GNN REINFORCE training with dispatch baseline 'fifo+least_loaded' (stepwise).
Epoch [54/500] | Sampled: 260.69 | Baseline: 259.75 | Improvement: -0.94 | Win Rate: 46.88% | Job Loss: -1.0113 | AMR Loss: -0.5031 | Entropy: 1.8852 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [55/500] | Sampled: 264.34 | Baseline: 267.09 | Improvement: 2.75 | Win Rate: 59.38% | Job Loss: -1.6192 | AMR Loss: -0.1208 | Entropy: 1.9210 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [56/500] | Sampled: 263.84 | Baseline: 270.22 | Improvement: 6.38 | Win Rate: 71.88% | Job Loss: -0.2881 | AMR Loss: -0.0171 | Entropy: 1.9218 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [57/500] | Sampled: 260.06 | Baseline: 265.47 | Improvement: 5.41 | Win Rate: 59.38% | Job Loss: -1.1952 | AMR Loss: -0.3039 | Entropy: 1.9299 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [58/500] | Sampled: 265.28 | Baseline: 266.72 | Improvement: 1.44 | Win Rate: 56.25% | Job Loss: -0.6261 | AMR Loss: 0.0482 | Entropy: 1.9132 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [59/500] | Sampled: 262.78 | Baseline: 264.94 | Improvement: 2.16 | Win Rate: 53.12% | Job Loss: -2.1068 | AMR Loss: -0.4798 | Entropy: 1.9151 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [60/500] | Sampled: 266.94 | Baseline: 268.44 | Improvement: 1.50 | Win Rate: 56.25% | Job Loss: -0.7180 | AMR Loss: -0.1359 | Entropy: 1.9302 | Invalid S/B: 0.03/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [61/500] | Sampled: 259.09 | Baseline: 267.81 | Improvement: 8.72 | Win Rate: 84.38% | Job Loss: 0.2062 | AMR Loss: 0.4244 | Entropy: 1.9003 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [62/500] | Sampled: 258.22 | Baseline: 265.06 | Improvement: 6.84 | Win Rate: 68.75% | Job Loss: -0.5775 | AMR Loss: -0.3785 | Entropy: 1.8926 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [63/500] | Sampled: 259.28 | Baseline: 263.62 | Improvement: 4.34 | Win Rate: 65.62% | Job Loss: -1.2162 | AMR Loss: 0.0958 | Entropy: 1.8765 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
