Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_20.jsonl
Loaded 50 validation event(s).
Loaded training checkpoint from /home/wei/AMR-DFJSP/training_logs/curriculum_20260615_175146/checkpoints/phase_03/gnn_latest.pth (optimizers: optimizer_actor)
Starting GNN REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [42/500] | Sampled: 260.38 | Baseline: 251.16 | Improvement: -9.22 | Win Rate: 15.62% | Job Loss: -1.3835 | AMR Loss: -0.6057 | Entropy: 0.8005 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [43/500] | Sampled: 257.62 | Baseline: 249.69 | Improvement: -7.94 | Win Rate: 18.75% | Job Loss: -1.4810 | AMR Loss: -0.6963 | Entropy: 0.7569 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [44/500] | Sampled: 254.59 | Baseline: 249.16 | Improvement: -5.44 | Win Rate: 25.00% | Job Loss: -0.5205 | AMR Loss: -0.0523 | Entropy: 0.7797 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [45/500] | Sampled: 254.94 | Baseline: 249.00 | Improvement: -5.94 | Win Rate: 21.88% | Job Loss: -0.7127 | AMR Loss: 0.0809 | Entropy: 0.7846 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [46/500] | Sampled: 255.12 | Baseline: 248.56 | Improvement: -6.56 | Win Rate: 15.62% | Job Loss: -1.0283 | AMR Loss: -0.0117 | Entropy: 0.7755 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [47/500] | Sampled: 257.56 | Baseline: 252.56 | Improvement: -5.00 | Win Rate: 25.00% | Job Loss: -1.9178 | AMR Loss: -0.7440 | Entropy: 0.7469 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [48/500] | Sampled: 253.19 | Baseline: 248.75 | Improvement: -4.44 | Win Rate: 28.12% | Job Loss: -1.1209 | AMR Loss: 0.6612 | Entropy: 0.7697 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [49/500] | Sampled: 254.94 | Baseline: 249.12 | Improvement: -5.81 | Win Rate: 21.88% | Job Loss: -0.4321 | AMR Loss: -0.2902 | Entropy: 0.7571 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [50/500] | Sampled: 253.53 | Baseline: 247.03 | Improvement: -6.50 | Win Rate: 21.88% | Job Loss: -1.2657 | AMR Loss: 0.1294 | Entropy: 0.7364 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
   -> Validation | Samples: 50 | Makespan: 251.16 | Invalid Jobs: 0.00
   -> Saved new best model (Val Makespan: 251.16)
Epoch [51/500] | Sampled: 256.59 | Baseline: 248.66 | Improvement: -7.94 | Win Rate: 15.62% | Job Loss: -0.0238 | AMR Loss: 0.1096 | Entropy: 0.7334 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [52/500] | Sampled: 257.44 | Baseline: 250.69 | Improvement: -6.75 | Win Rate: 15.62% | Job Loss: -0.4361 | AMR Loss: -0.1412 | Entropy: 0.7521 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [53/500] | Sampled: 261.25 | Baseline: 251.25 | Improvement: -10.00 | Win Rate: 18.75% | Job Loss: 1.0160 | AMR Loss: -0.2613 | Entropy: 0.7425 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [54/500] | Sampled: 251.56 | Baseline: 247.03 | Improvement: -4.53 | Win Rate: 21.88% | Job Loss: 0.7788 | AMR Loss: 0.4971 | Entropy: 0.7119 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [55/500] | Sampled: 257.91 | Baseline: 250.75 | Improvement: -7.16 | Win Rate: 15.62% | Job Loss: -1.3147 | AMR Loss: 0.4143 | Entropy: 0.7482 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [56/500] | Sampled: 257.09 | Baseline: 251.44 | Improvement: -5.66 | Win Rate: 18.75% | Job Loss: -1.0617 | AMR Loss: 0.1995 | Entropy: 0.7171 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [57/500] | Sampled: 254.75 | Baseline: 247.38 | Improvement: -7.38 | Win Rate: 9.38% | Job Loss: 0.3685 | AMR Loss: 0.3690 | Entropy: 0.7208 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [58/500] | Sampled: 258.28 | Baseline: 252.78 | Improvement: -5.50 | Win Rate: 15.62% | Job Loss: -0.6314 | AMR Loss: 0.0753 | Entropy: 0.7354 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [59/500] | Sampled: 258.94 | Baseline: 250.91 | Improvement: -8.03 | Win Rate: 15.62% | Job Loss: -0.6960 | AMR Loss: 0.4662 | Entropy: 0.6937 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [60/500] | Sampled: 259.03 | Baseline: 251.81 | Improvement: -7.22 | Win Rate: 25.00% | Job Loss: -0.9595 | AMR Loss: -0.1790 | Entropy: 0.7224 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [61/500] | Sampled: 255.53 | Baseline: 247.12 | Improvement: -8.41 | Win Rate: 18.75% | Job Loss: -0.3599 | AMR Loss: 0.0915 | Entropy: 0.6634 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [62/500] | Sampled: 254.56 | Baseline: 246.47 | Improvement: -8.09 | Win Rate: 21.88% | Job Loss: -0.2836 | AMR Loss: 0.2898 | Entropy: 0.6748 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [63/500] | Sampled: 254.03 | Baseline: 246.75 | Improvement: -7.28 | Win Rate: 18.75% | Job Loss: -0.5374 | AMR Loss: -0.5498 | Entropy: 0.6739 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
