Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_20.jsonl
Loaded 50 validation event(s).
Loaded training checkpoint from /home/wei/AMR-DFJSP/training_logs/curriculum_20260615_175146/checkpoints/phase_03/gnn_precise_latest.pth (optimizers: optimizer_actor)
Starting GNN Precise REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [51/500] | Sampled: 253.69 | Baseline: 248.66 | Improvement: -5.03 | Win Rate: 21.88% | Job Loss: -1.0150 | AMR Loss: 0.4755 | Entropy: 0.8598 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [52/500] | Sampled: 254.06 | Baseline: 250.69 | Improvement: -3.38 | Win Rate: 28.12% | Job Loss: -1.3023 | AMR Loss: -0.3200 | Entropy: 0.7874 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [53/500] | Sampled: 255.44 | Baseline: 251.25 | Improvement: -4.19 | Win Rate: 31.25% | Job Loss: -0.8600 | AMR Loss: -0.0969 | Entropy: 0.8203 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [54/500] | Sampled: 252.78 | Baseline: 247.03 | Improvement: -5.75 | Win Rate: 28.12% | Job Loss: 0.3102 | AMR Loss: 0.0364 | Entropy: 0.8033 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [55/500] | Sampled: 254.78 | Baseline: 250.75 | Improvement: -4.03 | Win Rate: 28.12% | Job Loss: -0.4430 | AMR Loss: -0.1984 | Entropy: 0.7953 | Invalid S/B: 0.03/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [56/500] | Sampled: 256.12 | Baseline: 251.44 | Improvement: -4.69 | Win Rate: 18.75% | Job Loss: -1.8846 | AMR Loss: -0.0365 | Entropy: 0.7781 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [57/500] | Sampled: 252.84 | Baseline: 247.38 | Improvement: -5.47 | Win Rate: 15.62% | Job Loss: -0.8737 | AMR Loss: 0.3641 | Entropy: 0.8011 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [58/500] | Sampled: 257.94 | Baseline: 252.78 | Improvement: -5.16 | Win Rate: 25.00% | Job Loss: -1.6574 | AMR Loss: -0.1362 | Entropy: 0.7761 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [59/500] | Sampled: 256.16 | Baseline: 250.91 | Improvement: -5.25 | Win Rate: 31.25% | Job Loss: -1.0520 | AMR Loss: 0.0187 | Entropy: 0.8003 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [60/500] | Sampled: 256.94 | Baseline: 251.81 | Improvement: -5.12 | Win Rate: 28.12% | Job Loss: -0.3531 | AMR Loss: -0.1283 | Entropy: 0.7727 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [61/500] | Sampled: 254.53 | Baseline: 247.12 | Improvement: -7.41 | Win Rate: 18.75% | Job Loss: -1.0824 | AMR Loss: 0.0781 | Entropy: 0.7840 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [62/500] | Sampled: 252.84 | Baseline: 246.47 | Improvement: -6.38 | Win Rate: 25.00% | Job Loss: 0.1219 | AMR Loss: 0.2331 | Entropy: 0.7964 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
