Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_20.jsonl
Loaded 50 validation event(s).
Loaded training checkpoint from /home/wei/AMR-DFJSP/training_logs/curriculum_20260615_175146/checkpoints/phase_03/attention_precise_latest.pth (optimizers: optimizer)
Starting Attention Precise REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [58/500] | Sampled: 250.12 | Baseline: 252.78 | Improvement: 2.66 | Win Rate: 62.50% | Actor Loss: -0.8112 | Entropy: 0.4765 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [59/500] | Sampled: 251.50 | Baseline: 250.91 | Improvement: -0.59 | Win Rate: 43.75% | Actor Loss: -0.7302 | Entropy: 0.4079 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [60/500] | Sampled: 250.78 | Baseline: 251.81 | Improvement: 1.03 | Win Rate: 50.00% | Actor Loss: -0.2234 | Entropy: 0.4335 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [61/500] | Sampled: 248.12 | Baseline: 247.12 | Improvement: -1.00 | Win Rate: 50.00% | Actor Loss: -0.2811 | Entropy: 0.4445 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [62/500] | Sampled: 247.09 | Baseline: 246.47 | Improvement: -0.62 | Win Rate: 50.00% | Actor Loss: -1.1378 | Entropy: 0.4229 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [63/500] | Sampled: 247.19 | Baseline: 246.75 | Improvement: -0.44 | Win Rate: 46.88% | Actor Loss: -0.1474 | Entropy: 0.3954 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [64/500] | Sampled: 248.62 | Baseline: 248.19 | Improvement: -0.44 | Win Rate: 50.00% | Actor Loss: 0.3104 | Entropy: 0.4093 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [65/500] | Sampled: 251.81 | Baseline: 253.88 | Improvement: 2.06 | Win Rate: 59.38% | Actor Loss: 0.4981 | Entropy: 0.4149 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [66/500] | Sampled: 246.59 | Baseline: 248.59 | Improvement: 2.00 | Win Rate: 62.50% | Actor Loss: -0.1036 | Entropy: 0.3852 | Invalid S/B: 0.00/0.00 | Max Load: 7.3 | Load Gap: 1.3
Epoch [67/500] | Sampled: 251.69 | Baseline: 249.59 | Improvement: -2.09 | Win Rate: 43.75% | Actor Loss: -0.4782 | Entropy: 0.3908 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.3
