Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_40.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Starting GNN REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [70/1500] | Sampled: 1042.00 | Baseline: 1093.50 | Improvement: 51.50 | Win Rate: 50.00% | Job Loss: -345.7159 | AMR Loss: 2.0419 | Entropy: 3.5435
Epoch [71/1500] | Sampled: 949.25 | Baseline: 921.75 | Improvement: -27.50 | Win Rate: 50.00% | Job Loss: -62.7427 | AMR Loss: -71.2548 | Entropy: 3.3475
Epoch [72/1500] | Sampled: 1119.25 | Baseline: 1070.50 | Improvement: -48.75 | Win Rate: 25.00% | Job Loss: -446.0494 | AMR Loss: -261.7781 | Entropy: 3.5180
Epoch [73/1500] | Sampled: 1012.50 | Baseline: 871.00 | Improvement: -141.50 | Win Rate: 25.00% | Job Loss: -240.4572 | AMR Loss: -116.8935 | Entropy: 3.2658
Epoch [74/1500] | Sampled: 1068.25 | Baseline: 950.25 | Improvement: -118.00 | Win Rate: 0.00% | Job Loss: -502.3786 | AMR Loss: -232.4478 | Entropy: 3.2243
Epoch [75/1500] | Sampled: 876.50 | Baseline: 837.50 | Improvement: -39.00 | Win Rate: 25.00% | Job Loss: -157.8674 | AMR Loss: 266.5237 | Entropy: 3.0218
Epoch [76/1500] | Sampled: 824.00 | Baseline: 946.50 | Improvement: 122.50 | Win Rate: 100.00% | Job Loss: 619.4538 | AMR Loss: 106.8016 | Entropy: 2.8489
Epoch [77/1500] | Sampled: 819.50 | Baseline: 785.50 | Improvement: -34.00 | Win Rate: 50.00% | Job Loss: 308.0199 | AMR Loss: -232.5687 | Entropy: 2.7077
Epoch [78/1500] | Sampled: 1001.25 | Baseline: 990.50 | Improvement: -10.75 | Win Rate: 25.00% | Job Loss: -212.1799 | AMR Loss: 83.2941 | Entropy: 2.8657
Epoch [79/1500] | Sampled: 1347.50 | Baseline: 1243.25 | Improvement: -104.25 | Win Rate: 25.00% | Job Loss: 756.2121 | AMR Loss: -176.0559 | Entropy: 3.0121
Epoch [80/1500] | Sampled: 897.00 | Baseline: 990.75 | Improvement: 93.75 | Win Rate: 75.00% | Job Loss: 410.4685 | AMR Loss: 28.3617 | Entropy: 2.8317
Epoch [81/1500] | Sampled: 1070.50 | Baseline: 1149.75 | Improvement: 79.25 | Win Rate: 75.00% | Job Loss: 684.5072 | AMR Loss: 306.6308 | Entropy: 3.0454
Epoch [82/1500] | Sampled: 768.50 | Baseline: 659.50 | Improvement: -109.00 | Win Rate: 25.00% | Job Loss: -531.0446 | AMR Loss: -174.6668 | Entropy: 2.7683
Epoch [83/1500] | Sampled: 1297.75 | Baseline: 1381.50 | Improvement: 83.75 | Win Rate: 75.00% | Job Loss: 73.1842 | AMR Loss: -9.2594 | Entropy: 3.2263
Epoch [84/1500] | Sampled: 736.00 | Baseline: 659.00 | Improvement: -77.00 | Win Rate: 50.00% | Job Loss: 184.8085 | AMR Loss: -174.4801 | Entropy: 2.5727
Epoch [85/1500] | Sampled: 1119.00 | Baseline: 982.25 | Improvement: -136.75 | Win Rate: 25.00% | Job Loss: -127.7557 | AMR Loss: 237.6176 | Entropy: 3.0345
Epoch [86/1500] | Sampled: 1388.25 | Baseline: 1156.00 | Improvement: -232.25 | Win Rate: 0.00% | Job Loss: -495.0823 | AMR Loss: -100.3892 | Entropy: 3.0808
Epoch [87/1500] | Sampled: 864.00 | Baseline: 1010.75 | Improvement: 146.75 | Win Rate: 75.00% | Job Loss: 334.1225 | AMR Loss: -182.3357 | Entropy: 2.9388
Epoch [88/1500] | Sampled: 1431.50 | Baseline: 1299.50 | Improvement: -132.00 | Win Rate: 25.00% | Job Loss: -379.2677 | AMR Loss: -257.2866 | Entropy: 3.2775
Epoch [89/1500] | Sampled: 1201.00 | Baseline: 1031.25 | Improvement: -169.75 | Win Rate: 0.00% | Job Loss: -39.4431 | AMR Loss: -24.0490 | Entropy: 2.8561
Epoch [90/1500] | Sampled: 1104.00 | Baseline: 1006.00 | Improvement: -98.00 | Win Rate: 50.00% | Job Loss: -504.5229 | AMR Loss: -186.2360 | Entropy: 3.0542
Epoch [91/1500] | Sampled: 1465.50 | Baseline: 1272.00 | Improvement: -193.50 | Win Rate: 25.00% | Job Loss: -658.0953 | AMR Loss: 59.1174 | Entropy: 3.2316
Epoch [92/1500] | Sampled: 1355.75 | Baseline: 1283.00 | Improvement: -72.75 | Win Rate: 50.00% | Job Loss: 195.7201 | AMR Loss: -104.3968 | Entropy: 3.2068
Epoch [93/1500] | Sampled: 1174.25 | Baseline: 1135.75 | Improvement: -38.50 | Win Rate: 75.00% | Job Loss: -305.4772 | AMR Loss: -241.7091 | Entropy: 3.1646
Epoch [94/1500] | Sampled: 504.50 | Baseline: 452.75 | Improvement: -51.75 | Win Rate: 0.00% | Job Loss: -39.9259 | AMR Loss: -55.4010 | Entropy: 2.5078
Epoch [95/1500] | Sampled: 1332.25 | Baseline: 1177.75 | Improvement: -154.50 | Win Rate: 0.00% | Job Loss: -128.4210 | AMR Loss: -443.7331 | Entropy: 3.2275
Epoch [96/1500] | Sampled: 976.00 | Baseline: 993.50 | Improvement: 17.50 | Win Rate: 50.00% | Job Loss: 88.4618 | AMR Loss: -54.7495 | Entropy: 2.9418
Epoch [97/1500] | Sampled: 1034.50 | Baseline: 842.00 | Improvement: -192.50 | Win Rate: 0.00% | Job Loss: -533.7605 | AMR Loss: 91.4170 | Entropy: 2.9362
Epoch [98/1500] | Sampled: 726.50 | Baseline: 721.25 | Improvement: -5.25 | Win Rate: 25.00% | Job Loss: 138.7997 | AMR Loss: 271.6892 | Entropy: 2.8053
Epoch [99/1500] | Sampled: 1104.75 | Baseline: 903.50 | Improvement: -201.25 | Win Rate: 0.00% | Job Loss: -509.4138 | AMR Loss: -520.7522 | Entropy: 3.0295
Epoch [100/1500] | Sampled: 985.00 | Baseline: 1136.25 | Improvement: 151.25 | Win Rate: 100.00% | Job Loss: 888.3569 | AMR Loss: 118.2001 | Entropy: 3.0578
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/GNN/gnn_training_metrics.png
Epoch [101/1500] | Sampled: 1210.75 | Baseline: 1132.75 | Improvement: -78.00 | Win Rate: 50.00% | Job Loss: -48.0014 | AMR Loss: -116.0832 | Entropy: 3.1435
Epoch [102/1500] | Sampled: 1294.25 | Baseline: 1234.00 | Improvement: -60.25 | Win Rate: 50.00% | Job Loss: -38.8761 | AMR Loss: -295.9545 | Entropy: 3.3395
Epoch [103/1500] | Sampled: 1339.50 | Baseline: 1490.00 | Improvement: 150.50 | Win Rate: 100.00% | Job Loss: 966.3617 | AMR Loss: -532.3159 | Entropy: 3.4113
Epoch [104/1500] | Sampled: 983.50 | Baseline: 808.50 | Improvement: -175.00 | Win Rate: 25.00% | Job Loss: -123.8235 | AMR Loss: -187.2689 | Entropy: 3.0189
Epoch [105/1500] | Sampled: 646.50 | Baseline: 710.00 | Improvement: 63.50 | Win Rate: 50.00% | Job Loss: 228.9424 | AMR Loss: 36.5942 | Entropy: 2.8273
Epoch [106/1500] | Sampled: 1154.00 | Baseline: 1090.75 | Improvement: -63.25 | Win Rate: 50.00% | Job Loss: -322.3071 | AMR Loss: -318.1195 | Entropy: 3.2950
Epoch [107/1500] | Sampled: 1063.25 | Baseline: 877.25 | Improvement: -186.00 | Win Rate: 0.00% | Job Loss: -181.8958 | AMR Loss: -258.8521 | Entropy: 3.1995
Epoch [108/1500] | Sampled: 1259.75 | Baseline: 1153.50 | Improvement: -106.25 | Win Rate: 25.00% | Job Loss: -531.6412 | AMR Loss: -107.4816 | Entropy: 3.4953
Epoch [109/1500] | Sampled: 1171.75 | Baseline: 1001.00 | Improvement: -170.75 | Win Rate: 50.00% | Job Loss: -879.9678 | AMR Loss: -306.3447 | Entropy: 3.4366
Epoch [110/1500] | Sampled: 1355.00 | Baseline: 1110.75 | Improvement: -244.25 | Win Rate: 25.00% | Job Loss: -616.7029 | AMR Loss: -212.4509 | Entropy: 3.5009
Epoch [111/1500] | Sampled: 1073.25 | Baseline: 903.25 | Improvement: -170.00 | Win Rate: 25.00% | Job Loss: -407.8621 | AMR Loss: -556.8241 | Entropy: 3.2534
Epoch [112/1500] | Sampled: 1136.50 | Baseline: 1127.00 | Improvement: -9.50 | Win Rate: 50.00% | Job Loss: 215.4386 | AMR Loss: 75.8301 | Entropy: 3.5176
Epoch [113/1500] | Sampled: 1080.50 | Baseline: 911.00 | Improvement: -169.50 | Win Rate: 0.00% | Job Loss: -140.1286 | AMR Loss: -103.9782 | Entropy: 3.5144
Epoch [114/1500] | Sampled: 1324.25 | Baseline: 1158.50 | Improvement: -165.75 | Win Rate: 25.00% | Job Loss: -101.5436 | AMR Loss: -72.4789 | Entropy: 3.6298
Epoch [115/1500] | Sampled: 744.75 | Baseline: 698.00 | Improvement: -46.75 | Win Rate: 50.00% | Job Loss: -116.7729 | AMR Loss: -176.5939 | Entropy: 3.3737
Epoch [116/1500] | Sampled: 1583.00 | Baseline: 1405.25 | Improvement: -177.75 | Win Rate: 25.00% | Job Loss: -472.6315 | AMR Loss: -4.5732 | Entropy: 3.8200
Epoch [117/1500] | Sampled: 854.25 | Baseline: 823.25 | Improvement: -31.00 | Win Rate: 50.00% | Job Loss: 204.9499 | AMR Loss: 165.7757 | Entropy: 3.3774
Epoch [118/1500] | Sampled: 1110.25 | Baseline: 885.25 | Improvement: -225.00 | Win Rate: 0.00% | Job Loss: -594.0033 | AMR Loss: -343.3433 | Entropy: 3.5370
Epoch [119/1500] | Sampled: 1054.00 | Baseline: 832.25 | Improvement: -221.75 | Win Rate: 0.00% | Job Loss: -528.9340 | AMR Loss: -406.3191 | Entropy: 3.3219
Epoch [120/1500] | Sampled: 894.25 | Baseline: 703.25 | Improvement: -191.00 | Win Rate: 0.00% | Job Loss: -207.5014 | AMR Loss: -245.1348 | Entropy: 3.3156
Epoch [121/1500] | Sampled: 1382.00 | Baseline: 1232.00 | Improvement: -150.00 | Win Rate: 25.00% | Job Loss: -127.7283 | AMR Loss: -20.4194 | Entropy: 3.6459
Epoch [122/1500] | Sampled: 1362.75 | Baseline: 1209.25 | Improvement: -153.50 | Win Rate: 25.00% | Job Loss: -56.7721 | AMR Loss: -362.1031 | Entropy: 3.6790
Epoch [123/1500] | Sampled: 1106.00 | Baseline: 973.25 | Improvement: -132.75 | Win Rate: 75.00% | Job Loss: -106.7139 | AMR Loss: -433.7328 | Entropy: 3.5673
Epoch [124/1500] | Sampled: 750.75 | Baseline: 743.00 | Improvement: -7.75 | Win Rate: 50.00% | Job Loss: 92.6888 | AMR Loss: -150.4719 | Entropy: 3.3570
Epoch [125/1500] | Sampled: 1264.25 | Baseline: 1098.00 | Improvement: -166.25 | Win Rate: 25.00% | Job Loss: -146.7667 | AMR Loss: -392.2493 | Entropy: 3.6973
Epoch [126/1500] | Sampled: 1267.25 | Baseline: 1202.75 | Improvement: -64.50 | Win Rate: 50.00% | Job Loss: -5.3503 | AMR Loss: -536.5704 | Entropy: 3.7042
Epoch [127/1500] | Sampled: 857.25 | Baseline: 772.25 | Improvement: -85.00 | Win Rate: 25.00% | Job Loss: -3.7441 | AMR Loss: -188.6749 | Entropy: 3.2792
Epoch [128/1500] | Sampled: 1055.00 | Baseline: 988.25 | Improvement: -66.75 | Win Rate: 50.00% | Job Loss: -147.5418 | AMR Loss: -192.2958 | Entropy: 3.6005
Epoch [129/1500] | Sampled: 1199.25 | Baseline: 985.25 | Improvement: -214.00 | Win Rate: 25.00% | Job Loss: -569.8986 | AMR Loss: -249.5166 | Entropy: 3.6134
Epoch [130/1500] | Sampled: 1258.00 | Baseline: 1167.75 | Improvement: -90.25 | Win Rate: 50.00% | Job Loss: -287.0622 | AMR Loss: -413.5209 | Entropy: 3.6872
