Training on: cuda
Loaded 1000 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_60.jsonl
Loaded 50 validation event(s).
Starting hybrid dock-aware extend_GNN REINFORCE training with dispatch baseline 'milk_run+earliest_completion' (stepwise).
Epoch [86/2000] | Sampled: 883.38 | Baseline: 585.31 | Improvement: -298.06 | Win Rate: 0.00% | Actor Loss: 3.3670 | Entropy: 1.7245 | Invalid S/B: 0.06/0.00 | Max Load: 20.9 | Load Gap: 1.8 | LR: 2.99e-04
Epoch [87/2000] | Sampled: 869.25 | Baseline: 588.88 | Improvement: -280.38 | Win Rate: 0.00% | Actor Loss: -8.0652 | Entropy: 1.8067 | Invalid S/B: 0.00/0.00 | Max Load: 21.1 | Load Gap: 2.0 | LR: 2.99e-04
Epoch [88/2000] | Sampled: 875.19 | Baseline: 591.69 | Improvement: -283.50 | Win Rate: 0.00% | Actor Loss: -1.0260 | Entropy: 1.8771 | Invalid S/B: 0.06/0.00 | Max Load: 20.9 | Load Gap: 1.8 | LR: 2.99e-04
Epoch [89/2000] | Sampled: 850.00 | Baseline: 584.88 | Improvement: -265.12 | Win Rate: 0.00% | Actor Loss: 0.3620 | Entropy: 1.8298 | Invalid S/B: 0.06/0.00 | Max Load: 20.6 | Load Gap: 1.2 | LR: 2.99e-04
Epoch [90/2000] | Sampled: 850.69 | Baseline: 586.19 | Improvement: -264.50 | Win Rate: 0.00% | Actor Loss: 1.4993 | Entropy: 1.8079 | Invalid S/B: 0.00/0.00 | Max Load: 20.6 | Load Gap: 1.2 | LR: 2.99e-04
Epoch [91/2000] | Sampled: 854.81 | Baseline: 589.31 | Improvement: -265.50 | Win Rate: 0.00% | Actor Loss: 3.0506 | Entropy: 1.8100 | Invalid S/B: 0.00/0.00 | Max Load: 20.9 | Load Gap: 1.8 | LR: 2.99e-04
Epoch [92/2000] | Sampled: 840.06 | Baseline: 597.19 | Improvement: -242.88 | Win Rate: 0.00% | Actor Loss: -3.3705 | Entropy: 1.7708 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.5 | LR: 2.99e-04
Epoch [93/2000] | Sampled: 851.56 | Baseline: 595.94 | Improvement: -255.62 | Win Rate: 0.00% | Actor Loss: -6.8808 | Entropy: 1.6812 | Invalid S/B: 0.06/0.00 | Max Load: 20.6 | Load Gap: 1.2 | LR: 2.99e-04
Epoch [94/2000] | Sampled: 851.75 | Baseline: 589.25 | Improvement: -262.50 | Win Rate: 0.00% | Actor Loss: 2.9424 | Entropy: 1.6571 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.7 | LR: 2.99e-04
Epoch [95/2000] | Sampled: 833.88 | Baseline: 580.19 | Improvement: -253.69 | Win Rate: 0.00% | Actor Loss: 4.5028 | Entropy: 1.6751 | Invalid S/B: 0.06/0.00 | Max Load: 21.0 | Load Gap: 1.9 | LR: 2.99e-04
