Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Starting GNN Precise REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [83/1000] | Sampled: 2080.25 | Baseline: 688.06 | Improvement: -1392.19 | Win Rate: 0.00% | Job Loss: -3.2129 | AMR Loss: 2.0811 | Entropy: 1.0872
Epoch [84/1000] | Sampled: 2079.06 | Baseline: 691.12 | Improvement: -1387.94 | Win Rate: 0.00% | Job Loss: -4.2120 | AMR Loss: 1.1971 | Entropy: 1.0664
Epoch [85/1000] | Sampled: 2079.06 | Baseline: 705.50 | Improvement: -1373.56 | Win Rate: 0.00% | Job Loss: -7.8725 | AMR Loss: 1.4523 | Entropy: 1.1150
Epoch [86/1000] | Sampled: 2104.25 | Baseline: 700.62 | Improvement: -1403.62 | Win Rate: 0.00% | Job Loss: -17.5522 | AMR Loss: 1.4228 | Entropy: 1.1617
Epoch [87/1000] | Sampled: 2078.88 | Baseline: 686.19 | Improvement: -1392.69 | Win Rate: 0.00% | Job Loss: -11.0895 | AMR Loss: 1.0585 | Entropy: 1.2251
Epoch [88/1000] | Sampled: 2049.75 | Baseline: 681.94 | Improvement: -1367.81 | Win Rate: 0.00% | Job Loss: -15.0735 | AMR Loss: 1.5467 | Entropy: 1.2560
Epoch [89/1000] | Sampled: 2067.56 | Baseline: 673.56 | Improvement: -1394.00 | Win Rate: 0.00% | Job Loss: -10.4322 | AMR Loss: 1.3168 | Entropy: 1.2620
Epoch [90/1000] | Sampled: 2048.19 | Baseline: 680.31 | Improvement: -1367.88 | Win Rate: 0.00% | Job Loss: -8.9499 | AMR Loss: 1.2437 | Entropy: 1.2473
Epoch [91/1000] | Sampled: 2082.62 | Baseline: 698.44 | Improvement: -1384.19 | Win Rate: 0.00% | Job Loss: -13.1240 | AMR Loss: 1.3746 | Entropy: 1.2508
Epoch [92/1000] | Sampled: 2074.56 | Baseline: 695.00 | Improvement: -1379.56 | Win Rate: 0.00% | Job Loss: -9.5332 | AMR Loss: 1.0264 | Entropy: 1.2428
Epoch [93/1000] | Sampled: 2075.25 | Baseline: 690.06 | Improvement: -1385.19 | Win Rate: 0.00% | Job Loss: -5.5957 | AMR Loss: 1.5565 | Entropy: 1.2329
Epoch [94/1000] | Sampled: 2104.69 | Baseline: 707.44 | Improvement: -1397.25 | Win Rate: 0.00% | Job Loss: -10.1242 | AMR Loss: 1.1185 | Entropy: 1.2312
Epoch [95/1000] | Sampled: 2055.69 | Baseline: 678.50 | Improvement: -1377.19 | Win Rate: 0.00% | Job Loss: -8.9859 | AMR Loss: 1.2501 | Entropy: 1.1707
Epoch [96/1000] | Sampled: 2067.44 | Baseline: 690.25 | Improvement: -1377.19 | Win Rate: 0.00% | Job Loss: -5.1054 | AMR Loss: 1.2057 | Entropy: 1.1737
Epoch [97/1000] | Sampled: 2082.81 | Baseline: 691.50 | Improvement: -1391.31 | Win Rate: 0.00% | Job Loss: -2.6316 | AMR Loss: 0.8917 | Entropy: 1.1212
Epoch [98/1000] | Sampled: 2105.62 | Baseline: 697.75 | Improvement: -1407.88 | Win Rate: 0.00% | Job Loss: -4.9599 | AMR Loss: 1.1924 | Entropy: 1.1185
Epoch [99/1000] | Sampled: 2091.00 | Baseline: 692.38 | Improvement: -1398.62 | Win Rate: 0.00% | Job Loss: -1.3862 | AMR Loss: 1.4046 | Entropy: 1.1029
Epoch [100/1000] | Sampled: 2072.19 | Baseline: 683.19 | Improvement: -1389.00 | Win Rate: 0.00% | Job Loss: -2.5112 | AMR Loss: 0.9278 | Entropy: 1.0934
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/GNN/gnn_precise_training_metrics.png
Epoch [101/1000] | Sampled: 2054.56 | Baseline: 674.56 | Improvement: -1380.00 | Win Rate: 0.00% | Job Loss: -5.0413 | AMR Loss: 1.0178 | Entropy: 1.1233
Epoch [102/1000] | Sampled: 2067.00 | Baseline: 691.94 | Improvement: -1375.06 | Win Rate: 0.00% | Job Loss: -2.6561 | AMR Loss: 0.3295 | Entropy: 1.1158
Epoch [103/1000] | Sampled: 2058.00 | Baseline: 693.00 | Improvement: -1365.00 | Win Rate: 0.00% | Job Loss: -2.3997 | AMR Loss: 1.0927 | Entropy: 1.1352
Epoch [104/1000] | Sampled: 2094.69 | Baseline: 695.69 | Improvement: -1399.00 | Win Rate: 0.00% | Job Loss: -2.8349 | AMR Loss: 0.8427 | Entropy: 1.1582
Epoch [105/1000] | Sampled: 2046.44 | Baseline: 687.81 | Improvement: -1358.62 | Win Rate: 0.00% | Job Loss: 1.9805 | AMR Loss: 1.9850 | Entropy: 1.2026
Epoch [106/1000] | Sampled: 2057.19 | Baseline: 689.94 | Improvement: -1367.25 | Win Rate: 0.00% | Job Loss: -2.5525 | AMR Loss: 0.9431 | Entropy: 1.2256
Epoch [107/1000] | Sampled: 2092.25 | Baseline: 689.56 | Improvement: -1402.69 | Win Rate: 0.00% | Job Loss: -3.4789 | AMR Loss: 0.2097 | Entropy: 1.2346
Epoch [108/1000] | Sampled: 2065.50 | Baseline: 676.19 | Improvement: -1389.31 | Win Rate: 0.00% | Job Loss: -4.2073 | AMR Loss: 1.0136 | Entropy: 1.2653
Epoch [109/1000] | Sampled: 2083.50 | Baseline: 685.62 | Improvement: -1397.88 | Win Rate: 0.00% | Job Loss: -4.5698 | AMR Loss: 0.9526 | Entropy: 1.3221
Epoch [110/1000] | Sampled: 2090.44 | Baseline: 696.25 | Improvement: -1394.19 | Win Rate: 0.00% | Job Loss: 0.9575 | AMR Loss: 0.2363 | Entropy: 1.2821
Epoch [111/1000] | Sampled: 2089.75 | Baseline: 702.81 | Improvement: -1386.94 | Win Rate: 0.00% | Job Loss: -0.1784 | AMR Loss: 0.4566 | Entropy: 1.2889
Epoch [112/1000] | Sampled: 2083.25 | Baseline: 688.81 | Improvement: -1394.44 | Win Rate: 0.00% | Job Loss: 2.7888 | AMR Loss: 1.1372 | Entropy: 1.2027
Epoch [113/1000] | Sampled: 2112.38 | Baseline: 681.31 | Improvement: -1431.06 | Win Rate: 0.00% | Job Loss: 1.5856 | AMR Loss: 0.8283 | Entropy: 1.1973
