Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_40.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_80.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_100.jsonl
Starting Attention Precise REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [114/2000] | Sampled: 2133.00 | Baseline: 704.56 | Improvement: -1428.44 | Win Rate: 0.00% | Actor Loss: -1.9891 | Entropy: 0.7989
Epoch [115/2000] | Sampled: 2445.94 | Baseline: 801.88 | Improvement: -1644.06 | Win Rate: 0.00% | Actor Loss: -278.5126 | Entropy: 0.8949
Epoch [116/2000] | Sampled: 2703.44 | Baseline: 868.94 | Improvement: -1834.50 | Win Rate: 0.00% | Actor Loss: -145.6946 | Entropy: 0.9969
Epoch [117/2000] | Sampled: 2227.19 | Baseline: 719.62 | Improvement: -1507.56 | Win Rate: 0.00% | Actor Loss: 1.5568 | Entropy: 0.9294
Epoch [118/2000] | Sampled: 2140.44 | Baseline: 686.75 | Improvement: -1453.69 | Win Rate: 0.00% | Actor Loss: -3051.0469 | Entropy: 0.9207
Epoch [119/2000] | Sampled: 1711.19 | Baseline: 565.31 | Improvement: -1145.88 | Win Rate: 0.00% | Actor Loss: -3.3862 | Entropy: 0.8422
Epoch [120/2000] | Sampled: 2341.25 | Baseline: 766.75 | Improvement: -1574.50 | Win Rate: 0.00% | Actor Loss: 357.9965 | Entropy: 0.9346
Epoch [121/2000] | Sampled: 2559.50 | Baseline: 829.75 | Improvement: -1729.75 | Win Rate: 0.00% | Actor Loss: -803.4209 | Entropy: 0.8983
Epoch [122/2000] | Sampled: 1891.88 | Baseline: 629.31 | Improvement: -1262.56 | Win Rate: 0.00% | Actor Loss: -1599.0713 | Entropy: 0.8403
Epoch [123/2000] | Sampled: 2193.56 | Baseline: 717.12 | Improvement: -1476.44 | Win Rate: 0.00% | Actor Loss: -170.2333 | Entropy: 0.8030
Epoch [124/2000] | Sampled: 2089.50 | Baseline: 692.00 | Improvement: -1397.50 | Win Rate: 0.00% | Actor Loss: -346.3379 | Entropy: 0.7628
Epoch [125/2000] | Sampled: 2356.38 | Baseline: 777.50 | Improvement: -1578.88 | Win Rate: 0.00% | Actor Loss: -538.1158 | Entropy: 0.8841
Epoch [126/2000] | Sampled: 2821.94 | Baseline: 912.75 | Improvement: -1909.19 | Win Rate: 0.00% | Actor Loss: -4305.2424 | Entropy: 1.0800
Epoch [127/2000] | Sampled: 2048.12 | Baseline: 682.50 | Improvement: -1365.62 | Win Rate: 0.00% | Actor Loss: 602.3353 | Entropy: 0.8033
Epoch [128/2000] | Sampled: 2089.19 | Baseline: 688.06 | Improvement: -1401.12 | Win Rate: 0.00% | Actor Loss: 193.3723 | Entropy: 0.9403
Epoch [129/2000] | Sampled: 2557.25 | Baseline: 818.19 | Improvement: -1739.06 | Win Rate: 0.00% | Actor Loss: -1651.2091 | Entropy: 1.0090
Epoch [130/2000] | Sampled: 1901.50 | Baseline: 639.38 | Improvement: -1262.12 | Win Rate: 0.00% | Actor Loss: -59.2526 | Entropy: 0.7956
Epoch [131/2000] | Sampled: 1548.19 | Baseline: 531.44 | Improvement: -1016.75 | Win Rate: 0.00% | Actor Loss: -81.9950 | Entropy: 0.7497
Epoch [132/2000] | Sampled: 2446.25 | Baseline: 794.44 | Improvement: -1651.81 | Win Rate: 0.00% | Actor Loss: 11.8216 | Entropy: 0.9437
Epoch [133/2000] | Sampled: 1747.12 | Baseline: 579.00 | Improvement: -1168.12 | Win Rate: 0.00% | Actor Loss: -12.3177 | Entropy: 0.7993
Epoch [134/2000] | Sampled: 2124.31 | Baseline: 694.44 | Improvement: -1429.88 | Win Rate: 0.00% | Actor Loss: 15.5525 | Entropy: 0.8411
Epoch [135/2000] | Sampled: 2389.38 | Baseline: 793.50 | Improvement: -1595.88 | Win Rate: 0.00% | Actor Loss: -2.2372 | Entropy: 0.9672
Epoch [136/2000] | Sampled: 2400.06 | Baseline: 776.25 | Improvement: -1623.81 | Win Rate: 0.00% | Actor Loss: 1.1347 | Entropy: 1.0206
Epoch [137/2000] | Sampled: 2106.12 | Baseline: 687.94 | Improvement: -1418.19 | Win Rate: 0.00% | Actor Loss: -23.7852 | Entropy: 0.9632
Epoch [138/2000] | Sampled: 1931.69 | Baseline: 625.56 | Improvement: -1306.12 | Win Rate: 0.00% | Actor Loss: -8.0491 | Entropy: 0.8473
Epoch [139/2000] | Sampled: 2477.62 | Baseline: 794.75 | Improvement: -1682.88 | Win Rate: 0.00% | Actor Loss: -24.9728 | Entropy: 0.9489
Epoch [140/2000] | Sampled: 2035.56 | Baseline: 668.19 | Improvement: -1367.38 | Win Rate: 0.00% | Actor Loss: -2.3733 | Entropy: 0.8215
Epoch [141/2000] | Sampled: 2011.31 | Baseline: 667.25 | Improvement: -1344.06 | Win Rate: 0.00% | Actor Loss: -222.2466 | Entropy: 0.7670
Epoch [142/2000] | Sampled: 2194.69 | Baseline: 721.56 | Improvement: -1473.12 | Win Rate: 0.00% | Actor Loss: -44.9321 | Entropy: 0.8793
Epoch [143/2000] | Sampled: 2337.12 | Baseline: 747.44 | Improvement: -1589.69 | Win Rate: 0.00% | Actor Loss: 133.5324 | Entropy: 0.9024
Epoch [144/2000] | Sampled: 2232.19 | Baseline: 737.50 | Improvement: -1494.69 | Win Rate: 0.00% | Actor Loss: -722.2699 | Entropy: 0.8110
Epoch [145/2000] | Sampled: 2257.81 | Baseline: 739.44 | Improvement: -1518.38 | Win Rate: 0.00% | Actor Loss: -36.5954 | Entropy: 0.7424
Epoch [146/2000] | Sampled: 1908.19 | Baseline: 630.19 | Improvement: -1278.00 | Win Rate: 0.00% | Actor Loss: -7.7292 | Entropy: 0.6771
Epoch [147/2000] | Sampled: 2441.62 | Baseline: 790.38 | Improvement: -1651.25 | Win Rate: 0.00% | Actor Loss: -25.5350 | Entropy: 0.8740
Epoch [148/2000] | Sampled: 2139.69 | Baseline: 702.94 | Improvement: -1436.75 | Win Rate: 0.00% | Actor Loss: -2464.2679 | Entropy: 0.7692
Epoch [149/2000] | Sampled: 2495.25 | Baseline: 809.69 | Improvement: -1685.56 | Win Rate: 0.00% | Actor Loss: -3812.0758 | Entropy: 0.8416
Epoch [150/2000] | Sampled: 1557.38 | Baseline: 529.94 | Improvement: -1027.44 | Win Rate: 0.00% | Actor Loss: -147.7218 | Entropy: 0.5579
Epoch [151/2000] | Sampled: 1779.81 | Baseline: 595.56 | Improvement: -1184.25 | Win Rate: 0.00% | Actor Loss: -2.2234 | Entropy: 0.6569
