Training on: cuda
Loaded 1000 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_60.jsonl
Loaded 50 validation event(s).
Starting hybrid dock-aware extend_GNN REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [53/2000] | Sampled: 790.56 | Baseline: 559.00 | Improvement: -231.56 | Win Rate: 0.00% | Actor Loss: -31.0205 | Entropy: 2.0890 | Invalid S/B: 0.00/0.00 | Max Load: 13.9 | Load Gap: 3.8 | LR: 3.00e-04
Epoch [54/2000] | Sampled: 770.75 | Baseline: 561.00 | Improvement: -209.75 | Win Rate: 0.00% | Actor Loss: -5.1597 | Entropy: 2.0707 | Invalid S/B: 0.00/0.00 | Max Load: 13.8 | Load Gap: 3.8 | LR: 3.00e-04
Epoch [55/2000] | Sampled: 730.69 | Baseline: 562.69 | Improvement: -168.00 | Win Rate: 0.00% | Actor Loss: -23.2069 | Entropy: 2.0642 | Invalid S/B: 0.00/0.06 | Max Load: 13.6 | Load Gap: 3.7 | LR: 3.00e-04
Epoch [56/2000] | Sampled: 710.75 | Baseline: 556.62 | Improvement: -154.12 | Win Rate: 0.00% | Actor Loss: 5.7187 | Entropy: 2.0328 | Invalid S/B: 0.00/0.00 | Max Load: 13.8 | Load Gap: 3.8 | LR: 2.99e-04
Epoch [57/2000] | Sampled: 714.00 | Baseline: 551.56 | Improvement: -162.44 | Win Rate: 0.00% | Actor Loss: -17.3121 | Entropy: 2.0887 | Invalid S/B: 0.06/0.00 | Max Load: 13.2 | Load Gap: 2.8 | LR: 2.99e-04
Epoch [58/2000] | Sampled: 709.62 | Baseline: 562.56 | Improvement: -147.06 | Win Rate: 0.00% | Actor Loss: -20.1642 | Entropy: 2.2271 | Invalid S/B: 0.06/0.00 | Max Load: 13.8 | Load Gap: 3.6 | LR: 2.99e-04
Epoch [59/2000] | Sampled: 694.75 | Baseline: 560.19 | Improvement: -134.56 | Win Rate: 0.00% | Actor Loss: -6.0262 | Entropy: 2.4263 | Invalid S/B: 0.25/0.00 | Max Load: 13.6 | Load Gap: 3.2 | LR: 2.99e-04
Epoch [60/2000] | Sampled: 666.31 | Baseline: 558.19 | Improvement: -108.12 | Win Rate: 0.00% | Actor Loss: -15.2763 | Entropy: 2.7742 | Invalid S/B: 0.12/0.00 | Max Load: 13.5 | Load Gap: 2.9 | LR: 2.99e-04
Epoch [61/2000] | Sampled: 661.38 | Baseline: 562.38 | Improvement: -99.00 | Win Rate: 0.00% | Actor Loss: -14.9551 | Entropy: 3.1549 | Invalid S/B: 0.19/0.00 | Max Load: 13.4 | Load Gap: 2.9 | LR: 2.99e-04
Epoch [62/2000] | Sampled: 676.69 | Baseline: 558.31 | Improvement: -118.38 | Win Rate: 0.00% | Actor Loss: -22.9601 | Entropy: 3.5847 | Invalid S/B: 0.31/0.00 | Max Load: 13.7 | Load Gap: 3.0 | LR: 2.99e-04
