Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_40.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_80.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_100.jsonl
Starting GNN Precise REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [1/2000] | Sampled: 1100.06 | Baseline: 778.38 | Improvement: -321.69 | Win Rate: 0.00% | Job Loss: 5.1102 | AMR Loss: -0.2459 | Entropy: 4.1292
   -> Saved new best model (Makespan: 1100.06)
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/GNN/gnn_precise_training_metrics.png
Epoch [112/2000] | Sampled: 2262.94 | Baseline: 776.88 | Improvement: -1486.06 | Win Rate: 0.00% | Job Loss: 2.0388 | AMR Loss: 0.4645 | Entropy: 1.3788
Epoch [113/2000] | Sampled: 2221.44 | Baseline: 773.88 | Improvement: -1447.56 | Win Rate: 0.00% | Job Loss: 1.3936 | AMR Loss: -0.2795 | Entropy: 1.3361
Epoch [114/2000] | Sampled: 2226.94 | Baseline: 759.88 | Improvement: -1467.06 | Win Rate: 0.00% | Job Loss: 3.2563 | AMR Loss: 0.4493 | Entropy: 1.3176
Epoch [115/2000] | Sampled: 2491.25 | Baseline: 864.81 | Improvement: -1626.44 | Win Rate: 0.00% | Job Loss: 5.4239 | AMR Loss: 0.7323 | Entropy: 1.3882
Epoch [116/2000] | Sampled: 2710.56 | Baseline: 936.38 | Improvement: -1774.19 | Win Rate: 0.00% | Job Loss: 3.0659 | AMR Loss: 0.6827 | Entropy: 1.4495
Epoch [117/2000] | Sampled: 2243.50 | Baseline: 779.81 | Improvement: -1463.69 | Win Rate: 0.00% | Job Loss: 6.5723 | AMR Loss: 0.4380 | Entropy: 1.2750
Epoch [118/2000] | Sampled: 2159.38 | Baseline: 741.81 | Improvement: -1417.56 | Win Rate: 0.00% | Job Loss: -0.0349 | AMR Loss: 0.3771 | Entropy: 1.2093
Epoch [119/2000] | Sampled: 1717.88 | Baseline: 605.00 | Improvement: -1112.88 | Win Rate: 0.00% | Job Loss: 0.2592 | AMR Loss: 0.5601 | Entropy: 1.0846
Epoch [120/2000] | Sampled: 2407.88 | Baseline: 828.69 | Improvement: -1579.19 | Win Rate: 0.00% | Job Loss: 2.2644 | AMR Loss: 0.3851 | Entropy: 1.2345
Epoch [121/2000] | Sampled: 2574.38 | Baseline: 893.12 | Improvement: -1681.25 | Win Rate: 0.00% | Job Loss: -4.6479 | AMR Loss: 0.7983 | Entropy: 1.3254
Epoch [122/2000] | Sampled: 1972.81 | Baseline: 677.12 | Improvement: -1295.69 | Win Rate: 0.00% | Job Loss: -2.3995 | AMR Loss: 0.6030 | Entropy: 1.1054
Epoch [123/2000] | Sampled: 2248.38 | Baseline: 769.69 | Improvement: -1478.69 | Win Rate: 0.00% | Job Loss: -1.4443 | AMR Loss: 0.4955 | Entropy: 1.1682
Epoch [124/2000] | Sampled: 2156.00 | Baseline: 745.75 | Improvement: -1410.25 | Win Rate: 0.00% | Job Loss: 2.2381 | AMR Loss: 0.8226 | Entropy: 1.1265
Epoch [125/2000] | Sampled: 2428.12 | Baseline: 836.31 | Improvement: -1591.81 | Win Rate: 0.00% | Job Loss: -2.3179 | AMR Loss: 0.5825 | Entropy: 1.2261
Epoch [126/2000] | Sampled: 2893.75 | Baseline: 982.56 | Improvement: -1911.19 | Win Rate: 0.00% | Job Loss: 1.3558 | AMR Loss: -0.0136 | Entropy: 1.3435
