Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_40.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_80.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_100.jsonl
Starting GNN Precise REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [58/2000] | Sampled: 2253.00 | Baseline: 729.12 | Improvement: -1523.88 | Win Rate: 0.00% | Job Loss: -12.9529 | AMR Loss: 1.2619 | Entropy: 1.5194 | Invalid S/B: 0.00/0.00 | Max Load: 62.0 | Load Gap: 62.0
Epoch [59/2000] | Sampled: 2058.44 | Baseline: 663.81 | Improvement: -1394.62 | Win Rate: 0.00% | Job Loss: -9.2987 | AMR Loss: 1.8081 | Entropy: 1.4160 | Invalid S/B: 0.00/0.00 | Max Load: 55.6 | Load Gap: 55.6
Epoch [60/2000] | Sampled: 2598.38 | Baseline: 830.44 | Improvement: -1767.94 | Win Rate: 0.00% | Job Loss: -16.8650 | AMR Loss: 1.1954 | Entropy: 1.4302 | Invalid S/B: 0.00/0.00 | Max Load: 71.0 | Load Gap: 71.0
Epoch [61/2000] | Sampled: 2285.31 | Baseline: 737.44 | Improvement: -1547.88 | Win Rate: 0.00% | Job Loss: -16.5016 | AMR Loss: 0.9889 | Entropy: 1.3308 | Invalid S/B: 0.00/0.00 | Max Load: 62.3 | Load Gap: 62.3
Epoch [62/2000] | Sampled: 1912.12 | Baseline: 612.44 | Improvement: -1299.69 | Win Rate: 0.00% | Job Loss: -13.3978 | AMR Loss: 1.6084 | Entropy: 1.2626 | Invalid S/B: 0.00/0.00 | Max Load: 52.0 | Load Gap: 52.0
Epoch [63/2000] | Sampled: 1859.62 | Baseline: 603.25 | Improvement: -1256.38 | Win Rate: 0.00% | Job Loss: -13.6039 | AMR Loss: 1.2234 | Entropy: 1.2374 | Invalid S/B: 0.00/0.00 | Max Load: 49.9 | Load Gap: 49.9
Epoch [64/2000] | Sampled: 2001.00 | Baseline: 650.69 | Improvement: -1350.31 | Win Rate: 0.00% | Job Loss: -13.8478 | AMR Loss: 1.7454 | Entropy: 1.2219 | Invalid S/B: 0.00/0.00 | Max Load: 54.4 | Load Gap: 54.4
Epoch [65/2000] | Sampled: 2056.19 | Baseline: 665.31 | Improvement: -1390.88 | Win Rate: 0.00% | Job Loss: -12.2682 | AMR Loss: 1.3506 | Entropy: 1.2073 | Invalid S/B: 0.00/0.00 | Max Load: 55.9 | Load Gap: 55.9
Epoch [66/2000] | Sampled: 1909.75 | Baseline: 605.75 | Improvement: -1304.00 | Win Rate: 0.00% | Job Loss: -12.3830 | AMR Loss: 0.9345 | Entropy: 1.1728 | Invalid S/B: 0.00/0.00 | Max Load: 51.1 | Load Gap: 51.1
Epoch [67/2000] | Sampled: 2280.44 | Baseline: 734.06 | Improvement: -1546.38 | Win Rate: 0.00% | Job Loss: -15.7259 | AMR Loss: 1.1478 | Entropy: 1.2588 | Invalid S/B: 0.00/0.00 | Max Load: 62.2 | Load Gap: 62.2
Epoch [68/2000] | Sampled: 2150.81 | Baseline: 692.25 | Improvement: -1458.56 | Win Rate: 0.00% | Job Loss: -14.5927 | AMR Loss: 1.2059 | Entropy: 1.2533 | Invalid S/B: 0.00/0.00 | Max Load: 58.5 | Load Gap: 58.5
Epoch [69/2000] | Sampled: 2063.12 | Baseline: 662.81 | Improvement: -1400.31 | Win Rate: 0.00% | Job Loss: -15.1438 | AMR Loss: 1.4496 | Entropy: 1.2110 | Invalid S/B: 0.00/0.00 | Max Load: 55.8 | Load Gap: 55.8
Epoch [70/2000] | Sampled: 2046.56 | Baseline: 646.00 | Improvement: -1400.56 | Win Rate: 0.00% | Job Loss: -14.6977 | AMR Loss: 1.1782 | Entropy: 1.1968 | Invalid S/B: 0.00/0.00 | Max Load: 54.8 | Load Gap: 54.7
Epoch [71/2000] | Sampled: 2706.38 | Baseline: 860.94 | Improvement: -1845.44 | Win Rate: 0.00% | Job Loss: -19.3580 | AMR Loss: 1.1557 | Entropy: 1.2497 | Invalid S/B: 0.00/0.00 | Max Load: 73.5 | Load Gap: 73.5
Epoch [72/2000] | Sampled: 2672.50 | Baseline: 854.19 | Improvement: -1818.31 | Win Rate: 0.00% | Job Loss: -18.6618 | AMR Loss: 1.1042 | Entropy: 1.2085 | Invalid S/B: 0.00/0.00 | Max Load: 72.2 | Load Gap: 72.2
Epoch [73/2000] | Sampled: 2229.94 | Baseline: 706.25 | Improvement: -1523.69 | Win Rate: 0.00% | Job Loss: -12.9110 | AMR Loss: 1.1007 | Entropy: 1.1083 | Invalid S/B: 0.00/0.00 | Max Load: 59.9 | Load Gap: 59.9
Epoch [74/2000] | Sampled: 2211.94 | Baseline: 711.94 | Improvement: -1500.00 | Win Rate: 0.00% | Job Loss: -14.7407 | AMR Loss: 1.4653 | Entropy: 1.1074 | Invalid S/B: 0.00/0.00 | Max Load: 59.5 | Load Gap: 59.5
Epoch [75/2000] | Sampled: 1956.31 | Baseline: 634.12 | Improvement: -1322.19 | Win Rate: 0.00% | Job Loss: -16.2034 | AMR Loss: 1.2770 | Entropy: 1.0269 | Invalid S/B: 0.00/0.00 | Max Load: 53.4 | Load Gap: 53.4
Epoch [76/2000] | Sampled: 2215.62 | Baseline: 709.50 | Improvement: -1506.12 | Win Rate: 0.00% | Job Loss: -19.3115 | AMR Loss: 1.1725 | Entropy: 1.0307 | Invalid S/B: 0.00/0.00 | Max Load: 59.8 | Load Gap: 59.8
Epoch [77/2000] | Sampled: 2229.25 | Baseline: 719.38 | Improvement: -1509.88 | Win Rate: 0.00% | Job Loss: -19.1222 | AMR Loss: 1.0409 | Entropy: 1.0633 | Invalid S/B: 0.00/0.00 | Max Load: 61.1 | Load Gap: 61.1
