Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_20.jsonl
Loaded 50 validation event(s).
Loaded training checkpoint from /home/wei/AMR-DFJSP/training_logs/curriculum_20260615_175146/checkpoints/phase_02/gnn_latest.pth (optimizers: optimizer_actor)
Starting GNN REINFORCE training with dispatch baseline 'earliest_completion_job+least_loaded' (stepwise).
Epoch [86/500] | Sampled: 260.06 | Baseline: 251.03 | Improvement: -9.03 | Win Rate: 15.62% | Job Loss: -0.5097 | AMR Loss: -0.5127 | Entropy: 0.7832 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [87/500] | Sampled: 258.25 | Baseline: 252.47 | Improvement: -5.78 | Win Rate: 25.00% | Job Loss: -0.7353 | AMR Loss: 0.2634 | Entropy: 0.7745 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [88/500] | Sampled: 260.38 | Baseline: 253.72 | Improvement: -6.66 | Win Rate: 25.00% | Job Loss: -0.4254 | AMR Loss: 0.2503 | Entropy: 0.7960 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [89/500] | Sampled: 258.84 | Baseline: 250.59 | Improvement: -8.25 | Win Rate: 28.12% | Job Loss: -0.5701 | AMR Loss: -0.0453 | Entropy: 0.7776 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [90/500] | Sampled: 259.78 | Baseline: 252.59 | Improvement: -7.19 | Win Rate: 21.88% | Job Loss: -1.3319 | AMR Loss: -0.4538 | Entropy: 0.7883 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [91/500] | Sampled: 260.59 | Baseline: 254.59 | Improvement: -6.00 | Win Rate: 21.88% | Job Loss: -0.4195 | AMR Loss: 0.5321 | Entropy: 0.7922 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [92/500] | Sampled: 255.81 | Baseline: 248.12 | Improvement: -7.69 | Win Rate: 15.62% | Job Loss: -1.1835 | AMR Loss: 0.0405 | Entropy: 0.7804 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [93/500] | Sampled: 257.66 | Baseline: 250.22 | Improvement: -7.44 | Win Rate: 18.75% | Job Loss: -1.0136 | AMR Loss: 0.4527 | Entropy: 0.8082 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [94/500] | Sampled: 258.50 | Baseline: 253.66 | Improvement: -4.84 | Win Rate: 31.25% | Job Loss: -1.3244 | AMR Loss: 0.3637 | Entropy: 0.7956 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [95/500] | Sampled: 260.62 | Baseline: 251.91 | Improvement: -8.72 | Win Rate: 18.75% | Job Loss: -0.0813 | AMR Loss: 0.1811 | Entropy: 0.8039 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
