Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_20.jsonl
Loaded 50 validation event(s).
Loaded training checkpoint from /home/wei/AMR-DFJSP/training_logs/curriculum_20260615_175146/checkpoints/phase_02/attention_precise_latest.pth (optimizers: optimizer)
Starting Attention Precise REINFORCE training with dispatch baseline 'earliest_completion_job+least_loaded' (stepwise).
Epoch [63/500] | Sampled: 247.09 | Baseline: 248.94 | Improvement: 1.84 | Win Rate: 59.38% | Actor Loss: 0.4820 | Entropy: 0.4690 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [64/500] | Sampled: 247.84 | Baseline: 251.19 | Improvement: 3.34 | Win Rate: 56.25% | Actor Loss: 0.0524 | Entropy: 0.4568 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [65/500] | Sampled: 249.72 | Baseline: 256.50 | Improvement: 6.78 | Win Rate: 78.12% | Actor Loss: -0.3029 | Entropy: 0.4504 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [66/500] | Sampled: 246.41 | Baseline: 252.19 | Improvement: 5.78 | Win Rate: 65.62% | Actor Loss: 0.1251 | Entropy: 0.4434 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [67/500] | Sampled: 250.47 | Baseline: 251.19 | Improvement: 0.72 | Win Rate: 65.62% | Actor Loss: -0.1869 | Entropy: 0.4475 | Invalid S/B: 0.03/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [68/500] | Sampled: 250.38 | Baseline: 253.28 | Improvement: 2.91 | Win Rate: 62.50% | Actor Loss: 0.2748 | Entropy: 0.4027 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [69/500] | Sampled: 247.69 | Baseline: 250.06 | Improvement: 2.38 | Win Rate: 62.50% | Actor Loss: 0.2827 | Entropy: 0.4030 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [70/500] | Sampled: 249.50 | Baseline: 252.09 | Improvement: 2.59 | Win Rate: 59.38% | Actor Loss: 0.9999 | Entropy: 0.4392 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.2
Epoch [71/500] | Sampled: 249.59 | Baseline: 252.59 | Improvement: 3.00 | Win Rate: 62.50% | Actor Loss: -0.4143 | Entropy: 0.4491 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [72/500] | Sampled: 249.69 | Baseline: 255.81 | Improvement: 6.12 | Win Rate: 68.75% | Actor Loss: -1.9384 | Entropy: 0.4829 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [73/500] | Sampled: 248.44 | Baseline: 255.03 | Improvement: 6.59 | Win Rate: 71.88% | Actor Loss: -0.7594 | Entropy: 0.5053 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [74/500] | Sampled: 248.25 | Baseline: 252.72 | Improvement: 4.47 | Win Rate: 59.38% | Actor Loss: -0.0529 | Entropy: 0.5096 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [75/500] | Sampled: 247.28 | Baseline: 251.59 | Improvement: 4.31 | Win Rate: 65.62% | Actor Loss: -0.8541 | Entropy: 0.5008 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [76/500] | Sampled: 247.09 | Baseline: 252.88 | Improvement: 5.78 | Win Rate: 65.62% | Actor Loss: -0.1348 | Entropy: 0.5168 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
