n_jobs,policy,rule,is_best_rule_at_n,n_pairs,delta,delta_ci95,delta_pct,boot_lo,boot_hi,wins,losses,win_rate_pct,perm_p,significant
80,extend_GNN best-of-8 s42,milk_run+least_loaded,no,100,-13.63,6.61,-3.16,-20.4,-7.08,64,35,64.0,0.0001,yes
80,extend_GNN best-of-8 s42,earliest_completion_job+earliest_completion,no,100,-29.08,4.31,-6.5,-33.44,-24.85,92,8,92.0,0.0001,yes
80,extend_GNN best-of-8 s42,earliest_completion_job+material_match,no,100,-29.72,3.89,-6.64,-33.61,-25.89,94,5,94.0,0.0001,yes
80,extend_GNN best-of-16 s42,milk_run+earliest_completion,yes,100,-13.27,5.58,-3.11,-19.02,-7.82,61,37,61.0,0.0001,yes
80,extend_GNN best-of-16 s42,milk_run+earliest_available,no,100,-17.88,6.02,-4.15,-24.04,-12.02,68,31,68.0,0.0001,yes
80,extend_GNN best-of-16 s42,material_match+earliest_completion,no,100,-33.86,4.13,-7.58,-38.02,-29.83,94,6,94.0,0.0001,yes
80,extend_GNN best-of-16 s42,milk_run+least_loaded,no,100,-18.85,6.2,-4.37,-25.15,-12.69,69,30,69.0,0.0001,yes
80,extend_GNN best-of-16 s42,earliest_completion_job+earliest_completion,no,100,-34.3,4.17,-7.67,-38.47,-30.27,94,5,94.0,0.0001,yes
80,extend_GNN best-of-16 s42,earliest_completion_job+material_match,no,100,-34.94,3.9,-7.8,-38.93,-31.16,98,2,98.0,0.0001,yes
80,extend_GNN best-of-8 s44,milk_run+earliest_completion,yes,100,-21.68,5.86,-5.09,-27.58,-15.92,81,18,81.0,0.0001,yes
80,extend_GNN best-of-8 s44,milk_run+earliest_available,no,100,-26.29,6.25,-6.1,-32.64,-20.19,78,22,78.0,0.0001,yes
80,extend_GNN best-of-8 s44,material_match+earliest_completion,no,100,-42.27,3.81,-9.46,-46.14,-38.58,99,1,99.0,0.0001,yes
80,extend_GNN best-of-8 s44,milk_run+least_loaded,no,100,-27.26,6.43,-6.31,-33.69,-20.95,76,23,76.0,0.0001,yes
80,extend_GNN best-of-8 s44,earliest_completion_job+earliest_completion,no,100,-42.71,3.95,-9.55,-46.69,-38.88,99,1,99.0,0.0001,yes
80,extend_GNN best-of-8 s44,earliest_completion_job+material_match,no,100,-43.35,3.69,-9.68,-47.1,-39.8,100,0,100.0,0.0001,yes
80,extend_GNN best-of-16 s44,milk_run+earliest_completion,yes,100,-26.03,5.74,-6.11,-31.82,-20.36,85,14,85.0,0.0001,yes
80,extend_GNN best-of-16 s44,milk_run+earliest_available,no,100,-30.64,6.18,-7.11,-37.0,-24.61,83,17,83.0,0.0001,yes
80,extend_GNN best-of-16 s44,material_match+earliest_completion,no,100,-46.62,3.68,-10.43,-50.31,-43.1,99,1,99.0,0.0001,yes
